id,old_dfri,efri,old_cfri,old_totfri,dtum,etum,ctum,total_score_tum,dtram,etram,ctram,total_score_tram,old_total_score,rank_competition,num_fri,competition,year,gender,qualification,age,team,season,cfri,dfri,total_score_fri,clean_team,team_number,total_score,clean_team_with_number,comp_str,total_e_score,total_d_score
47,7.9,7.2,4.0,19.1,8.3,7.65,2.0,17.95,8.1,7.05,2.0,17.15,54.2,4,,SM,2018,Men,Qualification,Senior,Brommagymnasternalag2,VT,2.0,4.45,16.38,Brommagymnasterna,2,51.48,Brommagymnasterna2,18SMQualificationSeniorMen,21.9,20.85
50,10.6,7.85,4.0,22.45,7.3,8.6,2.0,17.9,7.6,7.5,2.0,17.1,57.45,2,,SM,2017,Women,Final,Senior,GTVikingarna,VT,2.0,7.39,18.68,GT Vikingarna,1,53.68,GT Vikingarna1,17SMFinalSeniorWomen,23.95,22.29
51,10.2,8.2,4.0,22.4,7.2,8.8,2.0,18.0,7.5,7.0,2.0,16.5,56.9,3,,SM,2017,Women,Final,Senior,GKMotus-Salto,VT,2.0,7.45,18.7,GK Motus Salto ,1,53.2,GK Motus Salto 1,17SMFinalSeniorWomen,24.0,22.15
55,10.8,7.5,4.0,22.3,10.2,8.1,2.0,20.3,10.0,7.8,2.0,19.8,62.4,1,,SM,2017,Men,Final,Senior,KFUM,VT,2.0,9.36,18.5,KFUM,1,58.59999999999999,KFUM1,17SMFinalSeniorMen,23.4,29.56
66,9.6,6.8,4.0,20.4,7.5,7.95,2.0,17.45,7.3,7.45,2.0,16.75,54.6,2,,SM,2017,Mixed,Qualification,Senior,Brommagymnasterna,VT,2.0,7.91,16.8,Brommagymnasterna,1,51.0,Brommagymnasterna1,17SMQualificationSeniorMixed,22.2,22.71
72,9.933,7.5,4.0,21.383,10.0,7.45,2.0,19.5,10.2,8.15,2.0,20.35,61.233,3,,NM,2017,Men,Final,Senior,Brommagymnasterna(SWE),HT,2.0,7.61,17.78,Brommagymnasterna,1,57.63,Brommagymnasterna1,17NMFinalSeniorMen,23.1,27.81
77,10.0,7.7,4.0,21.8,7.6,7.8,2.0,17.3,8.0,7.9,2.0,17.9,57.0,1,,NM,2017,Mixed,Final,Senior,GKMotus-Salto(SWE),HT,2.0,5.25,18.03,GK Motus Salto ,1,53.23,GK Motus Salto 1,17NMFinalSeniorMixed,23.400000000000002,20.85
90,9.333,7.25,4.0,20.983,7.1,7.65,2.0,16.35,7.2,7.65,2.0,16.85,54.183,5,,NM,2017,Women,Final,Senior,GladsaxeIF(DEN),HT,2.0,4.3,17.03,Gladsaxe,1,50.23,Gladsaxe1,17NMFinalSeniorWomen,22.55,18.6
92,8.933,7.25,4.0,20.183,6.6,7.25,2.0,15.85,7.05,6.55,2.0,15.6,51.633,7,,NM,2017,Women,Final,Senior,DrammenTF(NOR),HT,2.0,5.43,16.69,Drammen,1,48.14,Drammen1,17NMFinalSeniorWomen,21.05,19.08
96,10.533,8.15,4.0,22.783,11.3,8.25,2.0,21.45,11.5,7.2,2.0,20.7,64.933,1,,EM,2016,Men,Final,Senior,Denmark,HT,2.0,4.89,18.93,Denmark,1,61.08,Denmark1,16EMFinalSeniorMen,23.6,27.69
102,10.2,6.9,4.0,22.65,7.9,8.45,2.0,16.8,8.1,7.7,2.0,17.8,57.25,1,,EM,2016,Men,Final,Senior,Sweden,HT,2.0,3.02,17.4,Sweden,1,52.0,Sweden1,16EMFinalSeniorMen,23.05,19.02
103,9.666,6.9,4.0,21.916,8.6,8.25,2.0,17.5,8.2,7.35,2.0,17.55,56.966,2,,EM,2016,Men,Final,Senior,Iceland,HT,2.0,2.23,16.96,Iceland,1,52.01000000000001,Iceland1,16EMFinalSeniorMen,22.5,19.03
104,9.466,7.85,4.0,21.066,7.6,7.6,2.0,17.45,8.2,7.2,2.0,17.4,55.916,3,,EM,2016,Men,Final,Senior,Denmark,HT,2.0,5.14,17.74,Denmark,1,52.59,Denmark1,16EMFinalSeniorMen,22.65,20.939999999999998
