id,old_dfri,efri,old_cfri,old_totfri,dtum,etum,ctum,total_score_tum,dtram,etram,ctram,total_score_tram,old_total_score,rank_competition,num_fri,competition,year,gender,qualification,age,team,season,cfri,dfri,total_score_fri,clean_team,team_number,total_score,clean_team_with_number,comp_str,dfri_norm,efri_norm,cfri_norm,total_score_fri_norm,dtum_norm,etum_norm,ctum_norm,total_score_tum_norm,dtram_norm,etram_norm,ctram_norm,total_score_tram_norm,total_score_norm,total_e_score,total_d_score
193,9.8,8.05,4.0,21.85,10.6,6.4,2.0,19.0,10.7,7.35,2.0,20.05,60.9,1,,SM,2015,Men,F,S,Brommagymnasterna,VT,2.0,8.17,18.22,Brommagymnasterna,1,57.27,Brommagymnasterna1,15SMFSMen,-0.6600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,29.47
195,10.0,7.8,4.0,21.8,8.9,4.4,2.0,15.3,9.3,6.8,2.0,18.1,55.2,3,,SM,2015,Men,F,S,GFFRAM,VT,2.0,8.33,18.13,GF FRAM,1,51.53,GF FRAM1,15SMFSMen,-0.5,-0.2500000000000009,0.0,-0.0899999999999998,-1.6999999999999993,-2.0,0.0,-3.6999999999999993,-1.3999999999999986,-0.5499999999999998,0.0,-1.9499999999999995,-5.740000000000002,19.0,26.53
197,7.6,6.9,4.0,18.5,7.0,6.65,2.0,15.65,7.0,5.75,1.8,14.55,48.7,2,,SM,2015,Mix,F,S,Brommagymnasterna,VT,2.0,6.33,15.23,Brommagymnasterna,1,45.43000000000001,Brommagymnasterna1,15SMFSMix,-1.17,0.0,0.0,-1.0399999999999991,-0.5,0.0,0.0,-0.0999999999999996,-0.5999999999999996,-1.0499999999999998,-0.1999999999999999,-1.8499999999999976,-2.9949999999999903,19.3,20.33
198,10.5,8.8,4.0,23.3,7.8,7.65,2.0,17.45,7.7,8.45,2.0,18.15,58.9,1,,SM,2015,Wom,F,S,HöganäsGF,VT,2.0,8.75,19.55,Höganäs GF ,1,55.15,Höganäs GF 1,15SMFSWom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2000000000000001,0.0,0.0,0.0,0.0,24.9,24.25
199,9.8,8.4,4.0,22.2,7.2,7.15,2.0,16.35,7.9,8.15,2.0,18.05,56.6,2,,SM,2015,Wom,F,S,ÖrebroGF-KIF,VT,2.0,8.17,18.57,Örebro GF KIF ,1,52.97,Örebro GF KIF 1,15SMFSWom,-0.5800000000000001,-0.4000000000000003,0.0,-0.9800000000000004,-0.5999999999999996,-0.5,0.0,-1.099999999999998,0.0,-0.2999999999999989,0.0,-0.0999999999999978,-2.18,23.700000000000003,23.27
201,10.2,7.975,4.0,22.175,7.9,7.15,2.0,17.05,7.5,8.25,2.0,17.75,56.975,1,,SM,2015,Wom,Q,S,HöganäsGF,VT,2.0,8.5,18.48,Höganäs GF ,1,53.27500000000001,Höganäs GF 1,15SMQSWom,0.0,-0.1750000000000007,0.0,0.0,0.0,0.0,0.0,0.0,-0.5999999999999996,0.0,0.0,0.0,0.0,23.375,23.9
203,9.6,7.55,4.0,21.15,7.2,6.95,2.0,16.15,7.0,8.0,2.0,17.0,54.3,3,,SM,2015,Wom,Q,S,GKMotus-Salto,VT,2.0,8.0,17.55,GK Motus Salto ,1,50.7,GK Motus Salto 1,15SMQSWom,-0.5,-0.6000000000000005,0.0,-0.9299999999999996,-0.7000000000000002,-0.2000000000000001,0.0,-0.9000000000000021,-1.0999999999999996,-0.25,0.0,-0.75,-2.57500000000001,22.5,22.2
204,9.4,7.9,4.0,21.3,7.2,6.7,2.0,15.9,7.6,7.3,2.0,16.9,54.1,4,,SM,2015,Wom,Q,S,GTVikingarna,VT,2.0,7.83,17.73,GT Vikingarna,1,50.53,GT Vikingarna1,15SMQSWom,-0.6699999999999999,-0.25,0.0,-0.75,-0.7000000000000002,-0.4500000000000002,0.0,-1.1500000000000004,-0.5,-0.9500000000000002,0.0,-0.8500000000000014,-2.745000000000012,21.9,22.63
213,10.0,8.45,4.0,22.45,10.4,8.1,2.0,20.5,10.2,7.55,1.9,19.65,62.6,1,,SM,2014,Men,F,S,Brommagymnasterna,VT,2.0,8.33,18.78,Brommagymnasterna,1,58.93,Brommagymnasterna1,14SMFSMen,-0.6699999999999999,0.0,0.0,-0.0199999999999995,0.0,0.0,0.0,0.0,-0.1000000000000014,-0.8500000000000005,-0.1,-0.3500000000000014,0.0,24.1,28.93
215,9.8,7.5,4.0,21.3,9.6,6.7,2.0,18.3,10.3,6.9,2.0,19.2,58.8,3,,SM,2014,Men,F,S,GFFRAM,VT,2.0,8.17,17.67,GF FRAM,1,55.17,GF FRAM1,14SMFSMen,-0.8300000000000001,-0.9499999999999992,0.0,-1.129999999999999,-0.8000000000000007,-1.3999999999999997,0.0,-2.1999999999999997,0.0,-1.5,0.0,-0.8000000000000007,-3.759999999999998,21.1,28.07
